FileName;Group;Genotype;Breath;ShortName;date
GSM2263555_WT_baseline_1.CEL;WTBAS;WT;BAS;WTBAS.1;15/04/2015
GSM2263556_WT_baseline_2.CEL;WTBAS;WT;BAS;WTBAS.2;16/04/2015
GSM2263557_WT_baseline_3.CEL;WTBAS;WT;BAS;WTBAS.3;15/04/2015
GSM2263558_KO_baseline_1.CEL;KOBAS;KO;BAS;KOBAS.1;11/11/2014
GSM2263559_KO_baseline_2.CEL;KOBAS;KO;BAS;KOBAS.2;12/11/2014
GSM2263560_KO_baseline_3.CEL;KOBAS;KO;BAS;KOBAS.3;12/11/2014
GSM2263561_WT_ventilated_1.CEL;WTVEN;WT;VEN;WTVEN.1;15/04/2015
GSM2263562_WT_ventilated_2.CEL;WTVEN;WT;VEN;WTVEN.2;15/04/2015
GSM2263563_WT_ventilated_3.CEL;WTVEN;WT;VEN;WTVEN.3;15/04/2015
GSM2263564_KO_ventilated_1.CEL;KOVEN;KO;VEN;KOVEN.1;12/11/2014
GSM2263565_KO_ventilated_2.CEL;KOVEN;KO;VEN;KOVEN.2;12/11/2014
GSM2263566_KO_ventilated_3.CEL;KOVEN;KO;VEN;KOVEN.3;12/11/2014
