"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","positive regulation of cytokine production","139/3451","449/23210",2.27342254111363e-18,1.40383841913767e-14,8.79216254321209e-15,"Ptgs2/Thbs1/Serpine1/Atf4/Casp4/Ddit3/Ptger4/Clec4e/Bcl3/Ccl3/Stat3/Nr4a3/Clec4n/Rela/Tlr2/Arid5a/Cebpb/Bcl10/Ddx21/Mmp8/Rel/Tmem173/Myd88/Il1f9/Egr1/Hspd1/Mapkapk2/Anxa1/Clec5a/Il6/Fzd5/Wnt5a/Ripk1/Rock2/Sphk1/Adam17/P2rx7/Optn/P2ry2/Xbp1/Abl2/Ccl2/F2rl1/Nploc4/Polr3d/Tnfsf9/Hspb1/Cd34/Traf2/Cd46/Tnf/Heg1/Rtn4/Il18r1/Adora2b/Tek/Mapk3/Cebpg/Ptafr/Wnt3a/Tlr4/Card11/Postn/Ifi205/Tbk1/Ptpn22/Trim16/Tlr5/Ccbe1/Il17ra/Nlrp3/Irf1/Ankrd17/Il1a/Vegfd/Unc93b1/Ddx60/Atp6ap2/Dhx58/Clec9a/Tarm1/Hif1a/Lrrk2/Il33/Lrrfip2/Tlr6/Prkd2/Il4ra/Clu/Tnfrsf14/Cx3cl1/Ptpn11/Smad3/Il1r1/Gapdh/Il1b/Il1rl2/Dhx33/Zbtb20/Slamf6/Ccm2l/Ifih1/Klre1/Adipoq/Hpse/Nfam1/Sulf1/Cd276/Havcr2/C5ar1/Rab7b/Naip5/Park7/Il12rb2/Mndal/Hyal2/Cd2/Cd84/Ly96/Spn/Cd14/Ddx58/Il27ra/Cgas/Lilra5/Stat1/Tlr1/Rgcc/H2-M3/Ltb/Osm/Tigit/Rasgrp1/Hc/Lum/Adra2a/Sema7a/Eif2ak2/Tgfb1",139
"GO:1901342","regulation of vasculature development","110/3451","341/23210",3.29026841977449e-16,1.01587037460537e-12,6.3623400917113e-13,"Adm/Ptgs2/Epha2/Tnfrsf12a/Thbs1/Serpine1/Tmem100/F3/Meox2/Ptger4/Hmox1/Stat3/Mmrn2/Lif/Mir27a/Nfe2l2/Egr1/Anxa1/Cth/Hey1/Wnt5a/Spry2/Rock2/Sphk1/Fgfbp1/Zc3h12a/Angpt2/Klf5/Klf2/Ecscr/Adamts1/Xbp1/Id1/Ceacam1/Ccl2/Aplnr/Plxnd1/Adamts9/Hspb1/Cd34/Kit/Ramp2/Cxcr2/Lgals3/Hhip/Rtn4/C6/Hoxa5/Tie1/Ptgis/Pik3c2a/Tek/Mir23a/Srpx2/Epha1/Notch4/Ccbe1/Nrp1/Sirt1/Dll4/Il1a/Vegfd/Fasl/Hif1a/Ago1/Jmjd8/Itga5/Rhoj/Kdr/Prkd2/Sars/Spred1/Cxcl10/Cysltr1/Cx3cl1/Sod2/Mir24-2/Stab1/Acvrl1/Il1b/Adgra2/Mmp9/Tspan12/Hk2/Hey2/Pik3r2/Rhob/Pdgfd/Sulf1/Adm2/Plk2/C5ar1/Tcf4/Cx3cr1/Stat1/Rgcc/Fgf18/H2-M3/Prkcb/Hc/Hyal1/Plcg1/Hdac7/Erap1/Ptprm/Pml/Fgf2/Sfrp2/Pgk1/Wt1",110
"GO:0090130","tissue migration","94/3451","284/23210",7.97036949585269e-15,1.25852348728329e-11,7.88206314473269e-12,"Ptgs2/Hbegf/Epha2/Thbs1/Serpine1/Meox2/Clec14a/Hmox1/Mmrn2/Nr2f2/Jun/Srf/Nfe2l2/Tacstd2/Pik3r3/Anxa1/Snai2/Fgf7/Wnt5a/Map2k3/Rock2/Fgfbp1/Zc3h12a/Nr4a1/Foxf1/Adam17/Angpt2/Ptpn23/Myh9/Ceacam1/Plxnd1/Adamts9/Itgav/Prkx/Hspb1/Patz1/Kit/Tgfbr1/Rtn4/Adora2b/Pik3c2a/Glipr2/Tek/Arf6/Slit2/P2rx4/Dnaja4/Angpt1/Srpx2/Strap/Ccbe1/Nrp1/Sirt1/Dll4/Iqsec1/Robo1/Bcar1/Rreb1/Hif1a/Bcas3/Rhoj/Ptp4a3/Kdr/Prkd2/Spred1/Dpp4/Mef2c/Dock1/Ptpn11/Acvrl1/Adgra2/Ppm1f/Mmp9/Fat2/Pik3r2/Rhob/Plk2/Igf1/Stc1/Mir218-1/Prkce/Rgcc/Fgf18/Hyal1/Plcg1/Atoh8/Hdac7/Ptprm/Grhl2/Cdh13/Anln/Fgf2/Map4k4/Tgfb1",94
"GO:0002683","negative regulation of immune system process","135/3451","473/23210",1.00863908681625e-14,1.25852348728329e-11,7.88206314473269e-12,"Myc/Thbs1/Trib1/Tnfaip3/Ptger4/Ccr1/Hmox1/Ptpn2/Cebpb/Bcl10/Zfp36/Nfe2l2/Cd80/Lrrc17/Anxa1/Fgl2/Clec2d/Elf1/Hspa9/Zc3h12a/Sdc4/Foxf1/Cblb/Pawr/Ceacam1/H2-Oa/F2rl1/Samsn1/Nploc4/Vpreb3/Gpnmb/Lag3/Leo1/Dusp22/Cd46/Cxcl12/Cxcr2/Tnf/Lgals3/Mill2/Gnrh1/Hoxa5/Crk/Arg2/Ezr/Zfp36l1/Hfe/Atm/Slit2/Nmi/Angpt1/Ptpn22/Cd22/Col3a1/Klrb1b/Prkdc/Tmem178/Irf1/Bank1/Dusp1/Ythdf2/H4c9/Dhx58/Tap1/Tarm1/Cd44/Hes1/Clec12b/Cd37/Nr1d1/Nfkbia/Pde5a/Il33/Cnot7/Ldlr/Tlr6/Tcta/Il4ra/Cst7/Hlx/Sox11/Tspan32/Tnfrsf14/H2-Ab1/Cx3cl1/Socs5/Nlrc5/Meis1/Slfn1/Gpr171/Itpkb/Cbfb/Klre1/Thoc1/Adipoq/Fas/Ubash3b/Socs1/Cd276/Tap2/Ada/Mafb/Havcr2/Gas2l1/Rab7b/Cd300lf/Ccl12/Cd84/Spn/Lrrc32/H2-Aa/Cd68/Igf1/Pik3ap1/Il27ra/Rnf26/Ccl25/Zbtb46/Tff2/Ptprs/Cd200r1/H2-M3/Thy1/Tigit/Lgr4/Hc/March7/Lax1/Gcsam/H2-Ob/Siglecg/Vsir/Smad7/Il7r/Tgfb1",135
"GO:0045765","regulation of angiogenesis","99/3451","307/23210",1.01904735812412e-14,1.25852348728329e-11,7.88206314473269e-12,"Adm/Ptgs2/Epha2/Tnfrsf12a/Thbs1/Serpine1/F3/Meox2/Hmox1/Stat3/Mmrn2/Lif/Mir27a/Nfe2l2/Anxa1/Wnt5a/Spry2/Rock2/Sphk1/Fgfbp1/Zc3h12a/Angpt2/Klf2/Ecscr/Adamts1/Xbp1/Id1/Ceacam1/Ccl2/Aplnr/Plxnd1/Adamts9/Hspb1/Cd34/Ramp2/Cxcr2/Lgals3/Hhip/Rtn4/C6/Hoxa5/Tie1/Ptgis/Pik3c2a/Tek/Mir23a/Srpx2/Epha1/Notch4/Ccbe1/Nrp1/Sirt1/Dll4/Il1a/Vegfd/Fasl/Hif1a/Ago1/Jmjd8/Itga5/Rhoj/Kdr/Prkd2/Sars/Spred1/Cxcl10/Cysltr1/Cx3cl1/Mir24-2/Stab1/Acvrl1/Il1b/Adgra2/Mmp9/Tspan12/Hk2/Pik3r2/Rhob/Sulf1/Adm2/Plk2/C5ar1/Tcf4/Cx3cr1/Stat1/Rgcc/Fgf18/H2-M3/Prkcb/Hc/Hyal1/Plcg1/Hdac7/Erap1/Ptprm/Pml/Fgf2/Sfrp2/Pgk1",99
"GO:0090132","epithelium migration","93/3451","282/23210",1.42074414477255e-14,1.41905705902193e-11,8.88747604491211e-12,"Ptgs2/Hbegf/Epha2/Thbs1/Serpine1/Meox2/Clec14a/Hmox1/Mmrn2/Nr2f2/Jun/Srf/Nfe2l2/Tacstd2/Pik3r3/Anxa1/Snai2/Fgf7/Wnt5a/Map2k3/Rock2/Fgfbp1/Zc3h12a/Nr4a1/Adam17/Angpt2/Ptpn23/Myh9/Ceacam1/Plxnd1/Adamts9/Itgav/Prkx/Hspb1/Patz1/Kit/Tgfbr1/Rtn4/Adora2b/Pik3c2a/Glipr2/Tek/Arf6/Slit2/P2rx4/Dnaja4/Angpt1/Srpx2/Strap/Ccbe1/Nrp1/Sirt1/Dll4/Iqsec1/Robo1/Bcar1/Rreb1/Hif1a/Bcas3/Rhoj/Ptp4a3/Kdr/Prkd2/Spred1/Dpp4/Mef2c/Dock1/Ptpn11/Acvrl1/Adgra2/Ppm1f/Mmp9/Fat2/Pik3r2/Rhob/Plk2/Igf1/Stc1/Mir218-1/Prkce/Rgcc/Fgf18/Hyal1/Plcg1/Atoh8/Hdac7/Ptprm/Grhl2/Cdh13/Anln/Fgf2/Map4k4/Tgfb1",93
"GO:0050708","regulation of protein secretion","138/3451","490/23210",1.60864767824348e-14,1.41905705902193e-11,8.88747604491211e-12,"Casp4/Tnfaip3/Ptger4/Arntl/Ffar4/Clec4e/Ccl3/Gja1/Clec4n/Tlr2/Arid5a/Il1r2/Rhbdf2/Mmp8/Cyp51/Irs2/Hspd1/Anxa1/Clec5a/Lepr/Il6/Fzd5/Wnt5a/Egfr/Clock/Hmgcr/Adrb1/Zc3h12a/Midn/Cftr/Dynll1/Hadh/P2rx7/Xbp1/Glrx/Ptpn23/Adcy8/Abl2/Ceacam1/F2rl1/Vpreb3/Cd34/Traf2/Tnf/Hcar2/Zfp384/Arg2/Tek/Ezr/Mapk3/Arf6/Tlr4/Angpt1/Postn/Ptpn22/Cd22/Trim16/Tlr5/Il17ra/Nlrp3/Myh10/Sirt1/Il1a/Bank1/Unc93b1/Glp1r/Clec9a/Pam/Idh2/Atp13a2/Hif1a/Nr1d1/Lrrk2/Tiam1/Il33/Lrrfip2/Tlr6/Il4ra/Serp1/Pik3c3/Oga/Stxbp4/Tnfrsf14/Cx3cl1/Nlrp12/Ptpn11/Tm7sf3/Ano1/Foxa2/Gapdh/Il1b/G6pc2/Ifih1/Socs1/Cd276/Exoc1/Pfkfb2/Havcr2/Frmd4a/Kcnq1/Hyal2/Cd2/Cd84/Idua/Lrrc32/Igf1/Cd14/Piwil4/Ddx58/Il27ra/Gas6/Fbln1/Mcu/Prkce/Lilra5/Tlr1/Cd200r1/Rgcc/Cacna1d/Osm/Lgr4/Rasgrp1/Hc/Aacs/Efna5/Sec24a/Siglecg/Ankrd1/Inhbb/Vamp8/Pml/Map4k4/Adra2a/Oxct1/Arrb1/Tgfb1/Serpinb1b/Abcg1",138
"GO:0001667","ameboidal-type cell migration","120/3451","406/23210",2.06589654013846e-14,1.59461389191937e-11,9.9869788006167e-12,"Ptgs2/Hbegf/Epha2/Thbs1/Serpine1/Meox2/Zfand5/Clec14a/Hmox1/Has1/Mmrn2/Nr2f2/Jun/Srf/Nfe2l2/Tacstd2/Pik3r3/Anxa1/Snai2/Fgf7/Wnt5a/Map2k3/Rock2/Fgfbp1/Timp1/Zc3h12a/Nr4a1/Sdc4/Adam17/Angpt2/Ptpn23/Myh9/Ceacam1/Plxnd1/Adamts9/Appl2/Itgav/Prkx/Hspb1/Patz1/Kit/Cxcl12/Tgfbr1/Rtn4/Adora2b/Rffl/Pik3c2a/Glipr2/Tek/Arf6/Slit2/P2rx4/Dnaja4/Angpt1/Srpx2/Arid5b/Strap/Ccbe1/Pip5k1a/Nrp1/Sirt1/Dll4/Iqsec1/Sema3g/Robo1/Bcar1/Rreb1/Hif1a/Bcas3/Gdnf/Sema4c/Rhoj/Ptp4a3/Kdr/Prkd2/Spred1/Dpp4/Mef2c/Sema4f/Dock1/Ptpn11/Acvrl1/Ddr2/Adgra2/Ppm1f/Mmp9/Itgb7/Fat2/Pik3r2/Rhob/Lama5/Arhgap4/Ret/Plk2/Hyal2/Sgpl1/Igf1/Stc1/Itga4/P2ry12/Mir218-1/Prkce/Rgcc/Fgf18/Ednrb/Smo/Hyal1/Plcg1/Sema3c/Atoh8/Hdac7/Ptprm/Cdh13/Anln/Pml/Fgf2/Map4k4/Sema7a/Arhgdib/Tgfb1",120
"GO:0010631","epithelial cell migration","92/3451","280/23210",2.52766045866748e-14,1.73425592580797e-11,1.08615491522156e-11,"Ptgs2/Hbegf/Epha2/Thbs1/Serpine1/Meox2/Clec14a/Hmox1/Mmrn2/Nr2f2/Jun/Srf/Nfe2l2/Tacstd2/Pik3r3/Anxa1/Snai2/Fgf7/Wnt5a/Map2k3/Rock2/Fgfbp1/Zc3h12a/Nr4a1/Adam17/Angpt2/Ptpn23/Myh9/Ceacam1/Plxnd1/Adamts9/Itgav/Prkx/Hspb1/Patz1/Kit/Tgfbr1/Rtn4/Adora2b/Pik3c2a/Glipr2/Tek/Arf6/Slit2/P2rx4/Dnaja4/Angpt1/Srpx2/Strap/Ccbe1/Nrp1/Sirt1/Dll4/Iqsec1/Robo1/Bcar1/Rreb1/Hif1a/Bcas3/Rhoj/Ptp4a3/Kdr/Prkd2/Spred1/Dpp4/Mef2c/Dock1/Ptpn11/Acvrl1/Adgra2/Ppm1f/Mmp9/Fat2/Pik3r2/Rhob/Plk2/Igf1/Stc1/Mir218-1/Prkce/Rgcc/Fgf18/Hyal1/Plcg1/Atoh8/Hdac7/Ptprm/Cdh13/Anln/Fgf2/Map4k4/Tgfb1",92
"GO:0045444","fat cell differentiation","81/3451","238/23210",1.03854190728921e-13,6.41299627751084e-11,4.01642417619004e-11,"Ptgs2/Noct/Ddit3/Arntl/Ffar4/Sh3pxd2b/Nr4a3/Cebpb/Zfp36/Senp2/Ccnd1/Egr2/Snai2/Gdf10/Wnt5a/Nudt7/Cebpd/Adrb1/Zc3h12a/Nr4a1/Smad6/Noc3l/Klf5/Jdp2/Xbp1/Mex3c/Trib2/Trib3/Tnf/Arl4a/Runx1t1/Zfp36l1/Wnt3a/Lama4/Atf5/Zfp516/Arid5b/Rorc/Ero1l/Sirt1/Bmp2/Lgals12/Nr4a2/Hes1/Arxes2/Nr1d1/Socs7/Tmem64/Fto/Rarres2/Psmb8/Sort1/Sod2/Axin1/Smad3/Osbpl11/Steap4/Adipoq/Cmklr1/Bnip3/Plac8/Rgs2/Socs1/Stk4/Wnt10b/Fbxo9/Pex11a/Tgfb1i1/Igf1/Adrb3/Uchl3/Zfp36l2/Zadh2/Jag1/Mrap/Inhbb/Mettl8/Sfrp2/Lrrc8c/Fndc5/Tgfb1",81
