"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","positive regulation of cytokine production","116/2445","449/23210",1.82660287931348e-20,5.73296403123163e-17,3.52475355858376e-17,"Ptgs2/Casp4/Thbs1/Atf4/Ptger4/Anxa1/Bcl3/Arid5a/Serpine1/Mapkapk2/Stat3/Nr4a3/F2rl1/Optn/Rock2/Tlr2/Tek/Il1f9/Polr3d/Cebpg/Sphk1/Tlr4/Rsad2/Ddx21/Lrrk2/Bcl10/Ddit3/Adora2b/Abl2/Lrrfip2/Clec4e/Ripk1/Prkcq/Gata3/Ccm2l/Il15/P2rx7/Myd88/Tigit/Rela/Hyal2/Wnt3a/Gapdh/Dhx33/Mmp8/Tnf/Trim15/Nploc4/Gbp5/Stat1/Ifi205/Rel/Trim16/Lilra5/Il20rb/Tnfsf9/P2ry2/Vegfd/Mapk3/Ptpn22/Ptpn11/Cebpb/Cx3cl1/Klrk1/Nlrp3/Postn/Il6/Malt1/Slamf6/Wnt5a/Tlr5/Adam8/Tlr6/Lgals9/Fcer1g/Heg1/Traf2/Afap1l2/Clec4n/Spn/Clec5a/Il33/Cxcl17/Irf7/Card11/Cd14/Irf8/Txk/Ankrd17/Adra2a/Cd2/Ccbe1/Rgcc/Hif1a/Ccl5/Chia1/Tbk1/Hgf/Nfam1/Unc93b1/Ccl3/Ltb/Cd274/Hspd1/Ddx60/Cd34/Ifih1/Ptprc/Ccr2/Il4ra/Cgas/Cybb/Tspan6/Klre1/Irf1/Tmem173",116
"GO:1901342","regulation of vasculature development","97/2445","341/23210",1.90527219382906e-20,5.73296403123163e-17,3.52475355858376e-17,"Tmem100/Meox2/F3/Tnfrsf12a/Ptgs2/Klf2/Thbs1/Epha2/Id1/Hoxa5/Hk2/Hmox1/Ptger4/Anxa1/Hey1/Adm/Fgfbp1/Serpine1/Acvrl1/Bmp4/Stat3/Angpt2/Ramp2/Rock2/Srpx2/Hyal1/Tek/Ecscr/Hey2/Sphk1/Plxnd1/Nrp1/Kit/Aplnr/Dll4/Pml/Efnb2/Mir27a/Nfe2l2/Hhip/Efna1/Tie1/Klf5/Cth/Lgals3/Stat1/Kdr/Fgf18/Mir23a/Zc3h12a/Vegfd/Sars/Sema6a/Cx3cl1/Sfrp2/Ceacam1/Spry2/Wnt5a/Pde3b/Cxcl10/Pgk1/Ago1/Itga5/Hdac7/Fgf2/Pik3c2a/Lrg1/Ctsh/Jmjd8/Pdgfd/Klf4/Ccbe1/Rgcc/Hif1a/Ccl5/Lif/Cx3cr1/Ets1/Ddah1/Hgf/Fasl/Cysltr1/Adamts9/Mir24-2/Adgra2/Tspan12/Tcf4/Sod2/Sirt1/Cd34/Mmrn2/Spred1/Ccr2/Cybb/Cxcr2/Pik3r2/Epha1",97
"GO:0031349","positive regulation of defense response","99/2445","370/23210",8.73813655237896e-19,1.68404173191379e-15,1.03538624261898e-15,"Ptgs2/Ptger4/Tnip3/Pvr/Serpine1/Tnfaip3/Mapkapk2/Nfkbia/F2rl1/Optn/Tlr2/Tnip1/Polr3d/Tril/Gja1/Tlr4/Rsad2/Lrrk2/Bcl10/Irgm2/Adora2b/Lrrfip2/Tnip2/Treml4/Clec4e/Nupr1/Myd88/Rela/Hyal2/C2cd4b/Ednra/Mmp8/Tnf/Ifi208/Cd300lf/Trim15/Nploc4/Gbp5/Ifi205/Appl2/Lilra5/S100a8/Mapk3/Ltf/Ptpn22/Cebpb/Klrk1/Il6/Pde5a/Parp9/Slamf6/Egfr/Snca/Wnt5a/Tlr5/Sh2d1b1/Adam8/Tlr6/Lgals9/Arf6/Fcer1g/Wdfy1/Il33/Irf7/Ldlr/Cd14/Alpk1/Nr1d1/S100a9/Txk/Ankrd17/Hexim1/Ccl5/Reg3g/Prkdc/Ets1/Cxcl1/Nectin2/Nfkbiz/Tbk1/Lag3/Mill2/Unc93b1/Ccl3/Hspd1/Ddx60/Ifih1/Ccr2/Cgas/Tlr13/Mef2c/Rps6ka3/Tspan6/Klre1/Irf1/Il18rap/Ctss/Tmem173/Bpifb1",99
"GO:0001667","ameboidal-type cell migration","105/2445","406/23210",1.11933647850701e-18,1.68404173191379e-15,1.03538624261898e-15,"Meox2/Clec14a/Ptgs2/Snai2/Thbs1/Epha2/Hmox1/Anxa1/Hbegf/Has1/Nr2f2/Fgfbp1/Serpine1/Acvrl1/Bmp4/Angpt2/Tacstd2/Zfand5/Ednrb/Rock2/Srpx2/Hyal1/Tek/Atoh8/Plxnd1/Nrp1/Rreb1/Kit/Prkx/Slit2/Cxcl12/Dll4/Pml/Efnb2/Adora2b/Rffl/Nfe2l2/Map2k3/Sema6d/Gata3/Efna1/Angpt1/Hyal2/Sdc4/Srf/Pik3r3/Gdnf/Fgf7/Kdr/Appl2/Timp1/Fgf18/Pip5k1a/Zc3h12a/Sema6a/Ptpn11/Sox17/Sema6b/Ceacam1/Apoa1/Wnt5a/Sema3g/Ptp4a3/Bcas3/Adam8/Arf6/Fat2/Stc1/Strap/Lama5/Itgav/Arhgdib/Myh9/Mir218-1/Hdac7/Fgf2/Pik3c2a/Iqsec1/Patz1/Ctsh/Ppm1f/Arid5b/Fn1/Klf4/Ccbe1/Rgcc/Hif1a/Itgb7/Ets1/Sema3c/Nr4a1/Adamts9/Smo/Adgra2/Slc8a1/Sirt1/Mmrn2/Spred1/Mef2c/Cdh13/Dpp4/Evl/Pik3r2/Arhgap4/Tgfbr1",105
"GO:0045765","regulation of angiogenesis","86/2445","307/23210",7.99434220616873e-18,9.62199027934468e-15,5.91581323256486e-15,"Meox2/F3/Tnfrsf12a/Ptgs2/Klf2/Thbs1/Epha2/Id1/Hoxa5/Hk2/Hmox1/Anxa1/Adm/Fgfbp1/Serpine1/Acvrl1/Stat3/Angpt2/Ramp2/Rock2/Srpx2/Hyal1/Tek/Ecscr/Sphk1/Plxnd1/Nrp1/Aplnr/Dll4/Pml/Mir27a/Nfe2l2/Hhip/Efna1/Tie1/Lgals3/Stat1/Kdr/Fgf18/Mir23a/Zc3h12a/Vegfd/Sars/Sema6a/Cx3cl1/Sfrp2/Ceacam1/Spry2/Wnt5a/Pde3b/Cxcl10/Pgk1/Ago1/Itga5/Hdac7/Fgf2/Pik3c2a/Lrg1/Ctsh/Jmjd8/Klf4/Ccbe1/Rgcc/Hif1a/Ccl5/Lif/Cx3cr1/Ets1/Ddah1/Hgf/Fasl/Cysltr1/Adamts9/Mir24-2/Adgra2/Tspan12/Tcf4/Sirt1/Cd34/Mmrn2/Spred1/Ccr2/Cybb/Cxcr2/Pik3r2/Epha1",86
"GO:0043542","endothelial cell migration","64/2445","198/23210",6.27704134040818e-17,5.94816667311315e-14,3.65706492032547e-14,"Meox2/Clec14a/Ptgs2/Snai2/Thbs1/Epha2/Hmox1/Anxa1/Nr2f2/Fgfbp1/Acvrl1/Bmp4/Angpt2/Rock2/Srpx2/Tek/Atoh8/Plxnd1/Nrp1/Prkx/Slit2/Dll4/Efnb2/Adora2b/Nfe2l2/Map2k3/Gata3/Efna1/Angpt1/Srf/Pik3r3/Kdr/Fgf18/Zc3h12a/Ceacam1/Apoa1/Wnt5a/Ptp4a3/Bcas3/Adam8/Stc1/Itgav/Myh9/Mir218-1/Hdac7/Fgf2/Pik3c2a/Patz1/Klf4/Ccbe1/Rgcc/Hif1a/Ets1/Nr4a1/Adamts9/Adgra2/Sirt1/Mmrn2/Spred1/Mef2c/Cdh13/Dpp4/Pik3r2/Tgfbr1",64
"GO:0045088","regulation of innate immune response","81/2445","289/23210",6.99709884419629e-17,5.94816667311315e-14,3.65706492032547e-14,"Clec2d/Tnip3/Pvr/Clec12b/Ptpn2/Tnfaip3/Mapkapk2/Nfkbia/F2rl1/Tlr2/Tnip1/Polr3d/Tril/Tlr4/Rsad2/Bcl10/Irgm2/Lrrfip2/Tnip2/Ccr1/Treml4/Clec4e/Myd88/Rela/Tnf/Ifi208/Cd300lf/Trim15/Nploc4/Gbp5/Klrb1b/Ifi205/Appl2/Nmi/Lrp8/Ltf/Ptpn22/Klrk1/Ceacam1/Parp9/Slamf6/Wnt5a/Tlr5/Sh2d1b1/Adam8/Tlr6/Lgals9/Arf6/Wdfy1/Irf7/Cd14/Alpk1/Nr1d1/Txk/Ankrd17/Ythdf2/Hexim1/Reg3g/Prkdc/Nectin2/Myo1f/Tbk1/Lag3/Mill2/Unc93b1/Crk/Hspd1/Ddx60/B430306N03Rik/Ifih1/Cgas/Tlr13/Rps6ka3/Tspan6/Klre1/Irf1/Cnot7/Il18rap/Tap1/Tmem173/Bpifb1",81
"GO:0090130","tissue migration","80/2445","284/23210",7.90716739529831e-17,5.94816667311315e-14,3.65706492032547e-14,"Meox2/Clec14a/Ptgs2/Snai2/Thbs1/Epha2/Hmox1/Anxa1/Hbegf/Nr2f2/Fgfbp1/Serpine1/Acvrl1/Bmp4/Angpt2/Tacstd2/Rock2/Srpx2/Hyal1/Foxf1/Tek/Atoh8/Plxnd1/Nrp1/Rreb1/Kit/Prkx/Slit2/Dll4/Efnb2/Adora2b/Nfe2l2/Map2k3/Gata3/Efna1/Angpt1/Srf/Pik3r3/Fgf7/Kdr/Fgf18/Zc3h12a/Ptpn11/Ceacam1/Apoa1/Wnt5a/Ptp4a3/Bcas3/Adam8/Arf6/Fat2/Stc1/Strap/Itgav/Myh9/Mir218-1/Hdac7/Fgf2/Pik3c2a/Iqsec1/Patz1/Ctsh/Ppm1f/Klf4/Ccbe1/Rgcc/Hif1a/Ets1/Nr4a1/Adamts9/Adgra2/Sirt1/Mmrn2/Spred1/Mef2c/Cdh13/Dpp4/Evl/Pik3r2/Tgfbr1",80
"GO:0010631","epithelial cell migration","79/2445","280/23210",1.11525630524933e-16,7.45734716110052e-14,4.58494258824725e-14,"Meox2/Clec14a/Ptgs2/Snai2/Thbs1/Epha2/Hmox1/Anxa1/Hbegf/Nr2f2/Fgfbp1/Serpine1/Acvrl1/Bmp4/Angpt2/Tacstd2/Rock2/Srpx2/Hyal1/Tek/Atoh8/Plxnd1/Nrp1/Rreb1/Kit/Prkx/Slit2/Dll4/Efnb2/Adora2b/Nfe2l2/Map2k3/Gata3/Efna1/Angpt1/Srf/Pik3r3/Fgf7/Kdr/Fgf18/Zc3h12a/Ptpn11/Ceacam1/Apoa1/Wnt5a/Ptp4a3/Bcas3/Adam8/Arf6/Fat2/Stc1/Strap/Itgav/Myh9/Mir218-1/Hdac7/Fgf2/Pik3c2a/Iqsec1/Patz1/Ctsh/Ppm1f/Klf4/Ccbe1/Rgcc/Hif1a/Ets1/Nr4a1/Adamts9/Adgra2/Sirt1/Mmrn2/Spred1/Mef2c/Cdh13/Dpp4/Evl/Pik3r2/Tgfbr1",79
"GO:0090132","epithelium migration","79/2445","282/23210",1.74034109935284e-16,1.04733727359054e-13,6.43926206760551e-14,"Meox2/Clec14a/Ptgs2/Snai2/Thbs1/Epha2/Hmox1/Anxa1/Hbegf/Nr2f2/Fgfbp1/Serpine1/Acvrl1/Bmp4/Angpt2/Tacstd2/Rock2/Srpx2/Hyal1/Tek/Atoh8/Plxnd1/Nrp1/Rreb1/Kit/Prkx/Slit2/Dll4/Efnb2/Adora2b/Nfe2l2/Map2k3/Gata3/Efna1/Angpt1/Srf/Pik3r3/Fgf7/Kdr/Fgf18/Zc3h12a/Ptpn11/Ceacam1/Apoa1/Wnt5a/Ptp4a3/Bcas3/Adam8/Arf6/Fat2/Stc1/Strap/Itgav/Myh9/Mir218-1/Hdac7/Fgf2/Pik3c2a/Iqsec1/Patz1/Ctsh/Ppm1f/Klf4/Ccbe1/Rgcc/Hif1a/Ets1/Nr4a1/Adamts9/Adgra2/Sirt1/Mmrn2/Spred1/Mef2c/Cdh13/Dpp4/Evl/Pik3r2/Tgfbr1",79
