"","WTBAS.1","WTBAS.2","WTBAS.3","KOBAS.1","KOBAS.2","KOBAS.3","WTVEN.1","WTVEN.2","WTVEN.3","KOVEN.1","KOVEN.2","KOVEN.3"
"Ifi208",6.29524209100664,5.22114467428918,4.2468129747033,5.87824487713265,5.80330194400454,6.12915240992937,3.84833110163504,3.97930735810392,3.87521794240725,5.14848252835619,5.47724563243167,5.07241828698564
"Mup12",5.87106209758934,9.45726709128897,6.23010043242241,3.8659119184967,3.81570480459384,3.75451245854684,4.91748131378568,4.38865958150849,4.02520374066976,3.94316217685203,3.77301225494971,3.71065562689865
"Snhg12",5.23372564765427,5.1970803380145,5.36448590250211,5.54654731843641,5.21948080844706,5.10668142011252,5.80665732280857,5.95468933878721,6.02058818407844,6.06757932088733,6.53824330005205,6.82131116418231
"Gm16381",4.90736901698942,4.9775166723276,4.82218776526776,7.3278073303088,6.3845006949432,5.72334810275832,4.86628709335432,4.85395748759159,4.33539348216687,5.43410240703768,5.58288392345081,5.37336446900922
"Ect2l",6.77885474470212,6.34219417947314,6.82144527923718,6.67710107492942,6.67357666936921,6.78515237176477,6.33399464265998,6.12785254674574,6.09196137636674,5.42136780147582,5.57723679864122,5.4319432846879
"Gm10400",8.43608614707429,8.41670472429346,8.2059267030124,7.39239588419996,7.35846939721918,8.07028611040487,6.58331567542953,6.86305169318522,6.53417514509491,5.13315287329919,5.61067273101812,5.65898044893789
"Snord14e",8.36387543655323,8.12781435085807,8.78316580105568,8.73684769299029,9.13190091079222,9.37555117281999,9.42071599495182,8.80431476292475,9.47358347693446,10.1352673550126,9.76153820463436,10.5246382296073
"Mir669d",5.61867020995133,6.19417329165803,5.40983957575675,4.16693653136625,4.88991651723206,4.41869130184863,5.29980764757315,5.39791779692432,5.15501856822134,5.13131064053224,4.8780828538227,5.40276878955323
"Mir467h",5.41535267581502,6.84152539256751,5.78096003967979,3.18662990020296,5.32557551410734,5.63674001474372,5.67063449183027,5.30777122319516,5.3938007596374,5.84132506013083,5.73647940827331,6.03312372468585
"Mir1938",7.21379542601006,7.10654973838024,7.46913434418884,6.98980995714973,6.87919883638641,6.59590252145758,7.4603251682151,7.59907445071488,7.94907046076249,8.02312007607905,8.24751053298784,8.69916127119665
"Mir669m-1",5.47940553716037,4.8515616129829,4.56616796559918,6.34518726476134,5.2330139537383,5.27754395891635,4.96408874848684,5.55587607408061,4.79592250982179,4.18610996719477,4.68133968612512,4.37813871344773
"Mir669n",7.05271010735024,6.94670018464388,7.62647342118205,7.10329034335932,6.50803532737077,6.45283273236274,7.17077761342916,6.89379996901921,6.90767218091272,5.38492671354674,6.18973175942913,4.75127198828827
"Gm10931",7.21142688508675,6.66464996890458,6.52197847901684,6.94026706993703,6.70122805516613,6.83044661207806,7.0680109526125,7.05941684475536,7.55435279386233,6.17701750324408,6.32336199412441,6.21997437046125
"Zfand2a",8.02982725157223,8.27918743177721,8.00941996656909,7.98075569590695,8.1153720873337,7.85260253046192,8.39500041715481,8.41523811318401,8.52078816248604,9.03548378127827,8.96531829619093,9.19396628622468
"Olfr331",5.64086395300786,6.24439429198642,5.90297169760303,6.07897623764756,5.92227122145358,5.94981396972051,5.30301722952495,5.7357178061602,5.56111067196856,4.8927618824451,4.85970685797967,4.47470248994824
"5430416N02Rik",5.82959137089566,5.88226006264709,5.86733890715714,5.73327274864062,5.65790353437822,5.62845516304073,6.15811976730981,6.20534826956616,6.31437801663327,6.639437979215,6.56750327113011,6.9789175959058
"Gm14636",6.06240625788963,5.68573517945309,5.47622094684572,5.72724643892238,5.55753411459391,5.63664266166801,6.34324383473595,6.17064885618443,6.45141600988365,7.40261740728946,7.35968480673046,7.56381509843611
"Mir3097",7.81117042930623,7.23533444961142,7.43715690588572,6.9845206548414,7.32240030712418,6.90940653455645,6.26876402806009,6.31318235020831,5.83444168644179,5.11582265091586,5.35250961931003,4.47893101233523
"Mir3109",6.2691869144378,6.32758132180568,6.37145524241535,5.94879296920385,5.54015573417705,5.61599273766533,6.62424593257008,6.61794683088306,7.24421469185127,6.70114928909055,6.72799258275757,7.25347471529514
"Mir3962",4.15221129591805,4.31228617801621,4.03742009264013,4.68280178551531,4.97149405696197,4.82270745307895,5.20568996995633,5.89386985843386,6.34588918516637,4.48222456588823,5.99708815839191,5.09036493193161
"Spty2d1",7.9934571416678,8.36961511212826,8.16551961321735,8.13580620079936,8.05993407530034,8.15457365484369,8.65791219803107,8.55503759820149,8.69798455482487,9.17725027107994,9.07068371213554,9.23045229671594
"Gm32819",8.20047777016062,8.01200700017798,8.24918543903024,8.66742505394148,8.19619668495033,8.46513300705706,7.55502568866767,7.84950060129024,7.43468875305772,6.63304611079048,6.90870417243261,6.97177707857162
"2900052L18Rik",7.49851155764994,7.03209035336797,7.27188756340418,7.1454403654921,7.54056117781857,7.19541478636548,6.43456445887114,6.82289521216533,6.73937542116083,5.82529716587953,6.02207390067127,6.16865129689332
"AU040972",6.47738391268429,6.33874667328428,7.1114082495079,7.60059336192143,7.05620676527335,7.57267130868413,7.4147596782181,6.9438414773296,6.93828966519675,6.16767755276143,6.79148903504891,7.00726716052536
"Tsr1",7.23885611598905,7.02368460663545,7.24056542433113,7.19108447591967,6.53550387703517,6.89209001648499,7.70771652545442,7.67677119250795,8.08096466254134,7.90621055737754,8.08869599985482,7.94042486716224
"Lratd1",6.41275292547745,6.50927665532394,7.03181021991087,7.37193778075744,6.36118992243357,6.81451114017205,7.51575425930187,6.76584101048413,7.19769021760438,7.96190879849504,8.23063428345176,8.35810134645294
"Ffar4",7.04228245377047,6.93943508112091,7.32871857805022,7.82756980308596,7.44018185524703,7.19243338557679,8.96616595992921,8.41422124505683,9.0924373807735,9.29704958473413,9.65293541639643,9.6430080993236
"Psat1",5.70984149775902,5.9323068299865,5.65628744367751,6.07543481764957,5.77872478565576,5.81947982121736,6.61062439330738,6.28130436534175,6.70055431607956,7.09204038835748,7.5992688207309,7.48014515664917
"Ankrd1",8.26053132676154,8.31833673259018,8.46100902677431,8.90230402850746,7.46369229083872,7.8114862965416,10.3448183686658,9.30535963243767,9.24154282401434,8.52773788001449,8.85165738881426,8.85166267002864
"Cth",6.27643554956291,6.45682171882276,6.25521808853632,6.66463554986841,6.27673246890136,6.54514536089631,6.72876464673968,6.68901161231346,7.15936372635237,7.66459086124084,7.49229634460577,7.46512635773068
"Nabp1",8.26614461441966,8.21650048752025,7.72106642104284,7.62335989847306,7.54005091287089,7.43833784905134,8.33127653098553,8.68092069935938,8.62028299657982,9.05390416071138,9.10695128083631,9.25728357500872
