"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210947","Alkal1","620393","ENSMUSG00000087247",1.25575294659413,4.87871950753632,5.37495765996223,0.000134612740364746,0.00276186619015477,1.1813034316381
"2","17210984","Pcmtd1","319263","ENSMUSG00000051285",-0.167411617367113,9.20840205452474,-1.65633139665844,0.122011850734844,0.232349967499189,-5.43473563403045
"3","17211000","Rrs1","59014","ENSMUSG00000061024",0.240743708504223,6.17845557565013,1.05845372954534,0.309465050383993,0.453862309929559,-6.18399267510848
"4","17211004","Adhfe1","76187","ENSMUSG00000025911",-0.0989548246842311,7.22547116161244,-0.603228104892962,0.55692238953261,0.688652638945276,-6.56411215127528
"5","17211131","Prex2","109294","ENSMUSG00000048960",-0.280396155069457,10.6090541455091,-2.81888119604886,0.0147123012614455,0.0518374509889051,-3.48078535919197
"6","17211198","Sulf1","240725","ENSMUSG00000016918",-0.260898621429938,8.24964631249966,-1.20287658360926,0.250857797860148,0.391876626300484,-6.02632737148435
"7","17211258","Rdh10","98711","ENSMUSG00000025921",0.422588186176941,8.17113757078434,2.36050611175523,0.0348649394592898,0.094513960317016,-4.3018431622698
"8","17211286","Ly96","17087","ENSMUSG00000025779",0.115624774849223,8.54243405894443,0.587398605614698,0.567180212166831,0.696164034233043,-6.57386414172788
"9","17211305","Pi15","94227","ENSMUSG00000067780",0.88115976168672,7.0747618338067,3.91946285157659,0.00181888203749336,0.0133540714296847,-1.42672404285494
"10","17211382","Efhc1","71877","ENSMUSG00000041809",-0.0404635862930229,7.77081858831078,-0.277522825029077,0.785821749863691,0.86684921808753,-6.71410314204719
"11","17211405","Gsta3","14859","ENSMUSG00000025934",0.190873854229697,8.6396764459162,1.1076400900602,0.288449790305978,0.431917694007276,-6.13214797528076
"12","17211423","Khdc1c","433278","ENSMUSG00000041722",0.0474200646551259,3.62370650413472,0.216598368454743,0.831944020495948,0.897810805600445,-6.73003985688863
"13","17211441","Mir30a","387225","ENSMUSG00000065405",0.309870434550026,4.05567961392351,1.7472281374412,0.104590773139525,0.208173861089333,-5.30100094630955
"14","17211443","Mir30c-2","723964","ENSMUSG00000065567",1.07276118438894,5.49830640787995,4.86870847223372,0.000323030252795689,0.00467457546980428,0.302380426455778
"15","17211587","Dst","13518","ENSMUSG00000026131",0.0723542230648135,8.65577484576327,0.702263640359431,0.495120102459238,0.636643164639261,-6.49759388683965
"16","17211790","Hs6st1","50785","ENSMUSG00000045216",0.451237597349742,8.00217031924609,3.91100690586978,0.00184789787235512,0.0134190983676115,-1.44247872153493
"17","17211795","Arid5a","214855","ENSMUSG00000037447",1.24835837589377,7.20130671553131,6.6591255913341,1.71377167615076e-05,0.000771970384347307,3.24638887813551
